sheet_row,position_key,target_server,x,y,previous_type,previous_owner,previous_acquired_at,new_type,new_owner,new_acquired_at,image,action,time_source,source_text
1110,#509:j-8,#509,349,949,都市,OWM,,都市,破壊,2026/06/06 04:06,画像.PNG,destroy,visible_datetime,"#503[UMN]が#509[0WM]領有中のLV.1都市 #509(349,949)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-6-6 04:06:20"
1441,#523:c-12,#523,549,249,都市,,,都市,破壊,2026/06/06 04:28,画像 (1).PNG,destroy,visible_datetime,"#511[2N7]が#523[K4TR]領有中のLV.2都市 #523(549,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-6-6 04:28:41"
1108,#509:j-6,#509,249,949,都市,OWM,,都市,破壊,2026/06/06 04:29,画像 (1).PNG,destroy,visible_datetime,"#503[UMN]が#509[OUM]領有中のLV.1都市 #509(249,949)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-6-6 04:29:00"
1451,#523:d-12,#523,549,349,都市,,,都市,破壊,2026/06/06 04:32,画像 (1).PNG,destroy,visible_datetime,"#511[2N7]が#523[5DU]領有中のLV.3都市#523(549,349)を 攻撃し、陣営のために破壊宝箱＊10を勝ち取りました 2026-6-6 04:32:12"
1320,#511:i-18,#511,849,849,都市,,,都市,破壊,2026/06/06 04:36,画像 (2).PNG,destroy,visible_datetime,"#480[AAOAが#511[5Va]領有中のLV.1都市 #511(849,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-6-6 04:36:13"
1399,#523:d-10,#523,449,349,都市,K4TR,2026/05/20 23:39,都市,破壊,2026/06/06 04:36,画像 (2).PNG,destroy,visible_datetime,"#509[5s0]が#523[K4TR]領有中のLV.3都市 #523(449,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-6-6 04:36:32"
1453,#523:d-14,#523,649,349,都市,,,都市,破壊,2026/06/06 04:39,画像 (2).PNG,destroy,visible_datetime,"#509[5s0]が#523[5Du]領有中のLV.3都市#523(649,349)を 攻撃し、陣営のために破壊宝箱x10を勝ち取りました 2026-6-6 04:39:29"
586,#480:c-2,#480,49,249,都市,,,都市,破壊,2026/06/06 04:43,画像 (2).PNG,destroy,visible_datetime,"#534[4tH]が#480[PmP]領有中のLV.1都市#480(49,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-6-6 04:43:21"
671,#480:j-6,#480,249,949,都市,,,都市,破壊,2026/06/06 09:03,画像 (2) (1).PNG,destroy,visible_datetime,"#534[KTVSが#480領有中のLV.1都市#480(249,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-6-6 09:03:05"
1274,#511:d-6,#511,249,349,都市,2N7,2026/05/28 7:18,都市,破壊,2026/06/06 10:35,画像 (2) (1).PNG,destroy,visible_datetime,"#523[50Uが#511領有中のLV.2都市#511(249,349)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 2026-6-6 10:35:19"
931,#509:d-14,#509,649,349,密林の集会場,FHX,2026/05/23 16:36,都市,破壊,2026/06/06 12:01,画像 (2) (1).PNG,destroy,visible_datetime,"#503[GX991が#509[FHX]領有中のLV.3都市 #509(649,349)を攻撃し、陣営のために破壊宝箱＊10を 勝ち取りました 2026-6-6 12:01:40"
