row,name,old_total,new_total,old_band,new_band,old_form,new_form,old_first,new_first,old_job,new_job,changed,safe_to_apply,flags,vote_source,comment_source,vote_score,comment_score,comment_text
2,Revo GARO,407.68,430.22,2_75M以上〜80M未満,2_75M以上〜80M未満,戦,ロ,46.21,78,エンジニア,指導者,True,True,,IMG_2342.PNG,IMG_2367.PNG,1.0,1.0,ロケラン78M 指導者
3,まったり子,395.19,401.91,3_70M以上〜75M未満,2_75M以上〜80M未満,ロ,,74,,指導者,,True,True,,IMG_2341.PNG,,1.0,,
4,ssi103,383.96,452.54,1_80M以上,1_80M以上,航,,84,86,指導者,指導者,True,True,large_total_delta,IMG_2340.PNG,IMG_2365.PNG,1.0,1.0,=86M 指導者 AN
5,K’awiil,373.17,467.03,1_80M以上,1_80M以上,航,航,85.58,86.76,指導者,指導者,True,False,low_comment_match;large_total_delta,IMG_2340.PNG,IMG_2370.PNG,1.0,0.714,航空86.76M 戦争指導者
6,RevoLoveR,371.58,410.39,2_75M以上〜80M未満,2_75M以上〜80M未満,航,航,75.63,76.71,指導者,指導者,True,True,large_total_delta,IMG_2342.PNG,IMG_2369.PNG,1.0,0.941,航空マ176.71M 指導者 A'
7,naphtha PhD,370.42,389.37,3_70M以上〜75M未満,3_70M以上〜75M未満,航,航,70.3,71.57,エンジニア,指導者,True,True,,IMG_2343.PNG,IMG_2369.PNG,1.0,0.857,航空71.57M指導者
8,Hirogeo R,360.2,343.79,4_65M以上〜70M未満,3_70M以上〜75M未満,戦,戦,69.09,70.3,指導者,指導者,True,True,,IMG_2344.PNG,IMG_2366.PNG,1.0,0.875,戦車70.3m指導者 AN
9,Revo Geruge,355.31,393.64,3_70M以上〜75M未満,2_75M以上〜80M未満,ロ,,73.1,,エンジニア,,True,True,large_total_delta,IMG_2341.PNG,,1.0,,
10,BCCR,352.65,,4_65M以上〜70M未満,,戦,戦,65.28,66.47,エンジニア,エンジニア,True,False,low_comment_match,,IMG_2371.PNG,,0.667,BCC 戦車ルシウス 66.47 ENGINEER
11,RAMETT vu,352.43,363.6,2_75M以上〜80M未満,2_75M以上〜80M未満,ロ,ロ,76.61,79.2,指導者,指導者,True,False,low_comment_match,IMG_2342.PNG,IMG_2365.PNG,1.0,0.75,ロケラン79.2M指導者
12,Maーー,352.37,394.41,3_70M以上〜75M未満,2_75M以上〜80M未満,航,航,75,75.9,指導者,指導者,True,True,large_total_delta,IMG_2342.PNG,IMG_2366.PNG,1.0,1.0,航空75.9M指導者でする
13,CHIKO un,344.57,358.13,3_70M以上〜75M未満,3_70M以上〜75M未満,戦,戦,71.7,73.2,指導者,指導者,True,True,,IMG_2344.PNG,IMG_2372.PNG,1.0,0.933,戦車73.2M指導者
14,GinjirouR,344.35,349.37,4_65M以上〜70M未満,3_70M以上〜75M未満,航,,69.4,70.5,エンジニア,エンジニア,True,True,,IMG_2343.PNG,IMG_2373.PNG,1.0,1.0,70.5Mエンジニア
15,馬券師もつお,340.23,368.91,4_65M以上〜70M未満,3_70M以上〜75M未満,ロ,ロ,68.8,71.04,指導者,指導者,True,True,large_total_delta,IMG_2343.PNG,IMG_2368.PNG,1.0,1.0,ロケラン71.04M 指導者
16,ノンタン,338.12,318.38,5_62M以上〜65M未満,4_65M以上〜70M未満,戦,戦,64.3,65.1,エンジニア,エンジニア,True,True,,IMG_2345.PNG,IMG_2369.PNG,1.0,1.0,戦車65.1エンジニア A2
17,マリオ mario,337.64,387.83,4_65M以上〜70M未満,3_70M以上〜75M未満,ロ,ロ,68.3,70.8,指導者,指導者,True,True,large_total_delta,IMG_2344.PNG,IMG_2369.PNG,1.0,1.0,ロケラン70. 8M指導者 A2
18,かえるChanR,335.86,352.4,3_70M以上〜75M未満,3_70M以上〜75M未満,航,航,71.01,71.22,指導者,指導者,True,True,,IMG_2344.PNG,IMG_2365.PNG,1.0,0.933,航空（マーフィー）71.22M指導者
19,渋猫選手R,334.38,450.35,2_75M以上〜80M未満,1_80M以上,ロ,ロ,79.09,81.76,指導者,指導者,True,False,low_comment_match;large_total_delta,IMG_2340.PNG,IMG_2367.PNG,1.0,0.8,ロケラン81.76戦争指導者 AN
20,sakimaru,332.66,343.09,5_62M以上〜65M未満,5_62M以上〜65M未満,戦,戦,63.31,64.04,エンジニア,エンジニア,True,True,,IMG_2348.PNG,IMG_2375.PNG,1.0,1.0,戦車64.04Mエンジニア AN
21,黒猫 nuda,326.25,344.22,2_75M以上〜80M未満,2_75M以上〜80M未満,航,航,76,76.3,エンジニア,エンジニア,True,True,,IMG_2341.PNG,IMG_2372.PNG,1.0,1.0,航空76.3エンジニア T
22,RevoSHoBoR,325.27,368.2,4_65M以上〜70M未満,3_70M以上〜75M未満,戦,戦,68.9,70.3,エンジニア,エンジニア,True,True,large_total_delta,IMG_2343.PNG,IMG_2376.PNG,1.0,0.9,戦車70.3Mエンジニア 品
23,TONKUN,324.41,328.84,5_62M以上〜65M未満,4_65M以上〜70M未満,戦,戦,64.75,65.79,エンジニア,エンジニア,True,True,,IMG_2345.PNG,IMG_2370.PNG,1.0,0.923,戦車65.79M エンジニア
24,torsoboy00,323.6,,7_58M以上〜60M未満,,戦,,59.51,,エンジニア,,False,False,,,,,,
25,Revo nikoora,320.43,325.55,5_62M以上〜65M未満,5_62M以上〜65M未満,ロ,ロ,62.9,64.7,エンジニア,エンジニア,True,True,,IMG_2348.PNG,IMG_2368.PNG,1.0,0.952,ロケラン64.7Mエンジニア
26,いたちごっこR,320.4,337.01,,5_62M以上〜65M未満,,,,64,,指導者,True,True,,IMG_2347.PNG,IMG_2375.PNG,0.857,0.857,+64指導者 AN
27,SOL265,318.25,365.36,4_65M以上〜70M未満,4_65M以上〜70M未満,航,航,66,67,エンジニア,エンジニア,True,False,low_comment_match;large_total_delta,IMG_2345.PNG,IMG_2366.PNG,1.0,0.667,マーフィー航空 67M エンジニア
28,雉猫くるさん,311.89,297.57,4_65M以上〜70M未満,4_65M以上〜70M未満,戦,戦,65.7,66.7,エンジニア,エンジニア,True,True,,IMG_2346.PNG,IMG_2372.PNG,1.0,1.0,Tank 66.7 Engineer A：
29,HIDEGONDx,311.52,,4_65M以上〜70M未満,,ロ,,67.1,,エンジニア,,False,False,,,,,,
30,きょたぱ,310.38,289.25,6_60M以上〜62M未満,5_62M以上〜65M未満,,ロ,,63.71,,エンジニア,True,True,,IMG_2349.PNG,IMG_2370.PNG,1.0,1.0,ロケラン63.71Mエンジニア A2
31,AyuMiN,309.9,316.1,6_60M以上〜62M未満,5_62M以上〜65M未満,戦,戦,62,64,エンジニア,,True,True,,IMG_2347.PNG,IMG_2367.PNG,1.0,1.0,戦車64Mえんじにあ
32,SPD20T,309.58,305.66,6_60M以上〜62M未満,5_62M以上〜65M未満,戦,戦,60.6,62,エンジニア,エンジニア,True,True,,IMG_2350.PNG,IMG_2373.PNG,1.0,0.833,戦車62Mエンジニア
33,himoぺよ星,309.56,294.47,8_55M以上〜58M未満,7_58M以上〜60M未満,戦,,57.32,58.3,エンジニア,エンジニア,True,True,,IMG_2353.PNG,IMG_2374.PNG,0.857,0.857,せんしゃ58.3mエンジニア
34,スコア80,308.58,281.53,5_62M以上〜65M未満,5_62M以上〜65M未満,ロ,ロ,62.8,64.82,エンジニア,エンジニア,True,True,large_total_delta,IMG_2350.PNG,IMG_2371.PNG,1.0,1.0,ロケラン64.82エンジニア
35,はぶーぶ,307.91,313.04,7_58M以上〜60M未満,7_58M以上〜60M未満,戦,戦,58.64,59.57,エンジニア,エンジニア,True,True,,IMG_2354.PNG,IMG_2373.PNG,1.0,1.0,59.57戦車エンジニア
36,hiro628,306.7,300.24,8_55M以上〜58M未満,7_58M以上〜60M未満,戦,戦,57.2,58.6,エンジニア,エンジニア,True,True,,IMG_2353.PNG,IMG_2365.PNG,1.0,1.0,戦車58.6Mエンジニア
37,枝マメDx,306.51,300.02,6_60M以上〜62M未満,5_62M以上〜65M未満,戦,戦,60.1,62.31,エンジニア,エンジニア,True,True,,IMG_2348.PNG,IMG_2376.PNG,1.0,1.0,アゴ付き戦車62.31Mエンジン屋
38,DaoETあつし,304.65,336.54,5_62M以上〜65M未満,5_62M以上〜65M未満,戦,戦,63.69,64.03,エンジニア,エンジニア,True,True,large_total_delta,IMG_2349.PNG,IMG_2365.PNG,1.0,0.824,戦車64.03M私エンジニア
39,こうしゅう,304.48,306.61,9_50M以上～55M未満,9_50M以上～55M未満,戦,戦,53.05,53.33,エンジニア,エンジニア,True,True,,IMG_2362.PNG,IMG_2372.PNG,1.0,1.0,戦車 53.33M エンジニア
40,あつないR,300.05,321.27,6_60M以上〜62M未満,6_60M以上〜62M未満,戦,戦,60.72,61.79,エンジニア,エンジニア,True,False,low_comment_match,IMG_2351.PNG,IMG_2370.PNG,0.889,0.8,戦車61.79M engineer
41,ユパパパ,298.49,283.19,5_62M以上〜65M未満,5_62M以上〜65M未満,戦,戦,62.93,63.8,エンジニア,エンジニア,True,True,,IMG_2350.PNG,IMG_2372.PNG,1.0,1.0,戦車63.80Mエンジニアス I
42,YOSAKOI,298.38,303.65,8_55M以上〜58M未満,8_55M以上〜58M未満,戦,戦,56.6,57,エンジニア,エンジニア,True,True,,IMG_2358.PNG,IMG_2375.PNG,1.0,1.0,戦車57エンジニア
43,もるせら,297.32,,,,戦,,58.79,,エンジニア,,False,False,,,,,,
44,ボッサ,295.03,308.96,6_60M以上〜62M未満,6_60M以上〜62M未満,戦,戦,60.7,61,エンジニア,エンジニア,True,True,,IMG_2352.PNG,IMG_2368.PNG,1.0,1.0,戦車61M ●エンジニア
45,ちゃっぴ chappi,293.5,333.47,5_62M以上〜65M未満,5_62M以上〜65M未満,戦,戦,62.9,63.69,エンジニア,エンジニア,True,True,large_total_delta,IMG_2347.PNG,IMG_2368.PNG,1.0,1.0,戦車63.69Mエンジニア
46,GOLDEN FREEZA,293.33,302.39,8_55M以上〜58M未満,8_55M以上〜58M未満,戦,戦,56.29,57.06,エンジニア,エンジニア,True,True,,IMG_2356.PNG,IMG_2374.PNG,1.0,1.0,戦車57.06Mエンジニア てロ
47,指揮官の鷹,292.57,353.59,5_62M以上〜65M未満,4_65M以上〜70M未満,ロ,ロ,64.5,66.4,指導者,指導者,True,True,large_total_delta,IMG_2345.PNG,IMG_2375.PNG,1.0,1.0,ロケラン66.4M 指導者 AN
48,北池袋,291.48,347.45,5_62M以上〜65M未満,4_65M以上〜70M未満,戦,戦,63.8,65.6,指導者,指導者,True,True,large_total_delta,IMG_2346.PNG,IMG_2367.PNG,1.0,0.857,ルシ戦65.6M指導者
49,ゾンビ屋響子,291.45,333.21,5_62M以上〜65M未満,5_62M以上〜65M未満,戦,戦,62.12,62.74,エンジニア,エンジニア,True,True,large_total_delta,IMG_2348.PNG,IMG_2371.PNG,1.0,1.0,戦車62.74エンジニア
50,El KAMA,290.51,298.15,,8_55M以上〜58M未満,,,,,,,True,True,,IMG_2358.PNG,,1.0,,
51,ふみっちゃん,285.93,311.22,6_60M以上〜62M未満,5_62M以上〜65M未満,戦,戦,61.8,63,エンジニア,エンジニア,True,True,large_total_delta,IMG_2347.PNG,IMG_2373.PNG,1.0,1.0,ルシウス戦車63Mエンジニア
52,ちゅうちぇ,283.55,256.71,,8_55M以上〜58M未満,,戦,,57.7,,エンジニア,True,True,large_total_delta,IMG_2358.PNG,IMG_2375.PNG,1.0,1.0,戦車57.7エンジニア
53,カラトリ君,282.52,271.45,4_65M以上〜70M未満,4_65M以上〜70M未満,戦,戦,66.6,67.4,指導者,指導者,True,True,,IMG_2346.PNG,IMG_2374.PNG,1.0,1.0,戦車67.4私指導者です
54,tama選手R,280.33,274.75,,7_58M以上〜60M未満,戦,戦,58.17,58.5,エンジニア,エンジニア,True,True,,IMG_2355.PNG,IMG_2369.PNG,0.923,0.857,58.50M戦車+私 エンジニア
55,Revo nutswa,271.61,297.82,7_58M以上〜60M未満,6_60M以上〜62M未満,戦,戦,58,60,エンジニア,エンジニア,True,True,large_total_delta,IMG_2352.PNG,IMG_2376.PNG,0.9,1.0,戦車60Mエンジニア
56,RiricoR,270.98,284.17,7_58M以上〜60M未満,6_60M以上〜62M未満,戦,戦,59.6,60.47,エンジニア,エンジニア,True,False,low_comment_match,IMG_2352.PNG,IMG_2375.PNG,0.857,0.8,戦車：60.47Mエンジニア
57,ヤギサトツ,269.91,273.4,a_50M未満,9_50M以上～55M未満,航,航,48.9,50.5,エンジニア,エンジニア,True,True,,IMG_2362.PNG,IMG_2364.PNG,1.0,1.0,航空50.5（ 雲エンジニア
58,Nikoruko,269.3,275.2,8_55M以上〜58M未満,7_58M以上〜60M未満,戦,戦,57.99,58.73,エンジニア,エンジニア,True,True,,IMG_2353.PNG,IMG_2377.PNG,1.0,1.0,戦車 58.73Mエンジニア
59,だあむ,269.29,261.65,,7_58M以上〜60M未満,ロ,航,61.76,59.41,エンジニア,エンジニア,True,True,,IMG_2353.PNG,IMG_2371.PNG,1.0,1.0,航空59.41エンジニア
60,PRIUS A,268.63,282.26,,8_55M以上〜58M未満,,,,,,,True,True,,IMG_2356.PNG,,1.0,,
61,whats マイケル,268.5,306.65,8_55M以上〜58M未満,7_58M以上〜60M未満,戦,戦,57.32,58,エンジニア,エンジニア,True,True,large_total_delta,IMG_2355.PNG,IMG_2368.PNG,0.889,0.889,戦車58M 私エンジニア
62,Fateの晩风,268.03,257.14,7_58M以上〜60M未満,6_60M以上〜62M未満,航,,59.64,,エンジニア,,True,False,low_vote_match,IMG_2352.PNG,,0.714,,
63,もこP,267.33,,6_60M以上〜62M未満,,戦,,61.96,,指導者,,False,False,,,,,,
64,LA 49,263.17,,8_55M以上〜58M未満,,戦,,55.4,,,,False,False,,,,,,
65,—DARTS—,262.11,276.68,9_50M以上～55M未満,9_50M以上～55M未満,,,,,,,True,True,,IMG_2359.PNG,,0.833,,
66,ji i tan R18,258.28,277.1,7_58M以上〜60M未満,7_58M以上〜60M未満,戦,戦,57.47,58.44,エンジニア,エンジニア,True,True,,IMG_2354.PNG,IMG_2366.PNG,0.824,0.842,戦車58.44エンジニア
67,kaaaaat,257.09,255.57,9_50M以上～55M未満,9_50M以上～55M未満,戦,戦,53.11,53.67,エンジニア,エンジニア,True,True,,IMG_2359.PNG,IMG_2373.PNG,1.0,0.933,tank 53.67 engineer
68,Raju 95,256.73,,9_50M以上～55M未満,,,,53.28,,,,False,False,,,,,,
69,RevoFuYuMin,256.6,281.66,,8_55M以上〜58M未満,,,,,,,True,True,large_total_delta,IMG_2357.PNG,,1.0,,
70,Shawawaga,255.97,266.95,,9_50M以上～55M未満,,,50.5,,エンジニア,,True,True,,IMG_2359.PNG,,1.0,,
71,Pe-sukeR,254.54,296.37,6_60M以上〜62M未満,5_62M以上〜65M未満,戦,戦,61.5,62.5,エンジニア,エンジニア,True,True,large_total_delta,IMG_2349.PNG,IMG_2365.PNG,0.923,0.857,ルシ戦車62.5Mエンジニア
