sheet_row,position_key,target_server,x,y,previous_type,previous_owner,previous_acquired_at,new_type,new_owner,new_acquired_at,image,action,time_source,source_text
1934,中央:中央-19-9,#8061,424,74,漁場,JL0,2026/05/25 0:13,漁場,MtG,2026/06/14 09:59,IMG_2288.PNG,occupy,visible_time,"連盟MtGがLV.6漁場 #8061(X:424,Y:74)を占 領"
746,#503:J-3,#503,99,899,漁場,UMN,2026/05/20 0:00,漁場,fzn,2026/06/14 11:01,IMG_2289.PNG,occupy,previous_image_visible_time,"連盟fznがLV.1漁場 #503(X:99,Y:899)を占領"
866,#503:I-3,#503,99,799,漁場,,,漁場,fzn,2026/06/14 11:25,IMG_2289.PNG,occupy,visible_time,"連盟fznがLV.1漁場 #503(X:99,Y:799)を占領"
1510,#523:H-9,#523,399,699,漁場,,,漁場,476X,2026/06/14 11:44,IMG_2289.PNG,occupy,visible_time,"連盟476XがLV.3漁場 #523(X:399,Y:699)を 占領"
1926,中央:中央-19-11,#8061,524,74,漁場,DaNG,2026/05/25 10:49,漁場,MtG,2026/06/14 11:49,IMG_2289.PNG,occupy,visible_time,"連盟MtGがLV.6漁場 #8061(X:524,Y:74)を占 領"
1769,#534:K-7,#534,299,978,漁場,Dao,,漁場,moca,2026/06/14 11:55,IMG_2290.PNG,occupy,previous_image_visible_time,"連盟mocaがLV.1漁場 #534(X:299,Y:978)を 占領"
793,#503:D-13,#503,599,299,漁場,,,漁場,AAOA,2026/06/14 12:22,IMG_2290.PNG,occupy,visible_time,"連盟AAOAがLV.3漁場#503(X:599,Y:299)を 占領"
219,#440:K-21,#440,978,978,漁場,299,2026/06/04 7:35,漁場,UMN,2026/06/14 14:25,IMG_2291.PNG,occupy,visible_time,"連盟UMNがLV.1漁場 #440(X:978,Y:978)を 占領"
92,#440:A-15,#440,699,20,漁場,,,漁場,EDFS,2026/06/14 14:39,IMG_2291.PNG,occupy,visible_time,"連盟EDFSがLV.1漁場 #440(X:699,Y:20)を占 領"
1177,#511:H-1,#511,20,699,漁場,JL0,2026/06/10 23:13,漁場,ALj,2026/06/14 16:21,IMG_2292.PNG,occupy,visible_time,"連盟ALjがLV.1漁場 #511(X:20,Y:699)を占領"
173,#440:G-3,#440,99,599,漁場,WbW,2026/06/06 23:45,漁場,476M,2026/06/14 16:56,IMG_2293.PNG,occupy,previous_image_visible_time,"連盟476MがLV.1漁場 #440(X:99,Y:599)を占 領"
1973,中央:中央-8-2,#8061,74,624,漁場,ALj,2026/05/24 3:07,漁場,ALj,2026/06/14 17:04,IMG_2293.PNG,occupy,visible_time,"連盟ALjがLV.6漁場 #8061(X:74,Y:624)を占 領"
106,#440:B-15,#440,699,99,漁場,,,漁場,NBNH,2026/06/14 18:07,IMG_2294.PNG,occupy,visible_time,"連盟NBNHがLV.1漁場 #440(X:699,Y:99)を 占領"
1379,#523:C-19,#523,899,199,漁場,5DU,2026/05/21 3:16,漁場,MOn,2026/06/14 19:12,IMG_2294.PNG,occupy,visible_time,"連盟MOnがLV.1漁場 #523(X:899,Y:199)を 占領"
468,#480:C-7,#480,299,199,漁場,GoDs,2026/05/23 23:07,漁場,TrX,2026/06/14 20:49,IMG_2295.PNG,occupy,previous_image_visible_time,"連盟TrXがLV.2漁場 #480(X:299,Y:199)を占 領"
903,#509:I-15,#509,699,799,漁場,MOn,2026/06/03 15:08,漁場,Stj,2026/06/14 21:08,IMG_2295.PNG,occupy,visible_time,"連盟StjがLV.2漁場 #509(X:699,Y:799)を占 領"
1496,#523:H-1,#523,20,699,漁場,,,漁場,JDX,2026/06/14 21:16,IMG_2295.PNG,occupy,visible_time,"連盟DXがLV.1漁場 #523(X:20,Y:699)を占領"
911,#509:I-17,#509,799,799,漁場,BHE,2026/06/11 0:29,漁場,TIKW,2026/06/14 21:20,IMG_2296.PNG,occupy,visible_time,"連盟TIKWがLV.2漁場 #509(X:799,Y:799)を 占領"
1938,中央:中央-15-3,#8061,124,274,漁場,CDf8,2026/05/24 11:41,漁場,Lghs,2026/06/14 21:20,IMG_2296.PNG,occupy,visible_time,"連盟LghsがLV.7漁場 #8061(X:124,Y:274)を 占領"
112,#440:B-21,#440,978,99,漁場,,,漁場,COZy,2026/06/14 22:07,IMG_2296.PNG,occupy,visible_time,"連盟COZyがLV.1漁場 #440(X:978,Y:99)を占 領"
98,#440:A-21,#440,978,20,漁場,,,漁場,COZy,2026/06/14 22:33,IMG_2297.PNG,occupy,previous_image_visible_time,"連盟COZyがLV.1漁場 #440(X:978,Y:20)を占 領"
1112,#511:D-9,#511,399,299,漁場,WUG,2026/05/28 23:07,漁場,SHA,2026/06/14 22:39,IMG_2297.PNG,occupy,visible_time,"連盟SHAがLV.3漁場 #511(X:399,Y:299)を占 領"
68,#440:C-15,#440,699,199,漁場,DOLU,2026/05/21 2:47,漁場,NBNH,2026/06/14 23:07,IMG_2297.PNG,occupy,visible_time,"連盟NBNHがLV.2漁場 #440(X:699,Y:199)を 占領"
108,#440:B-17,#440,799,99,漁場,,,漁場,EDFS,2026/06/14 23:15,IMG_2298.PNG,occupy,previous_image_visible_time,"連盟EDFSがLV.1漁場 #440(X:799,Y:99)を占 領"
1931,中央:中央-18-11,#8061,524,124,漁場,2N7,2026/05/25 3:16,漁場,MtG,2026/06/14 23:26,IMG_2298.PNG,occupy,visible_time,"連盟MtGがLV.7漁場 #8061(X:524,Y:124)を 占領"
675,#503:H-3,#503,99,699,漁場,xjR,2026/05/24 7:33,漁場,GX99,2026/06/15 00:03,IMG_2299.PNG,occupy,previous_image_visible_time,"連盟GX99がLV.1漁場 #503(X:99,Y:699)を占 領"
1059,#509:G-7,#509,299,599,漁場,fzn,2026/06/03 15:34,漁場,f4j,2026/06/15 00:06,IMG_2299.PNG,occupy,visible_time,"連盟f4jがLV.3漁場 #509(X:299,Y:599)を占 領"
315,#476:A-9,#476,399,20,漁場,,,漁場,476B,2026/06/15 00:06,IMG_2299.PNG,occupy,visible_time,"連盟476BがLV.1漁場 #476(X:399,Y:20)を占 領"
313,#476:A-7,#476,299,20,漁場,,,漁場,476A,2026/06/15 00:27,IMG_2300.PNG,occupy,previous_image_visible_time,"連盟476AがLV.1漁場 #476(X:299,Y:20)を占 領"
531,#480:I-1,#480,20,799,漁場,BHE,2026/06/04 7:12,漁場,H69,2026/06/15 00:27,IMG_2300.PNG,occupy,visible_time,"連盟H69がLV.1漁場 #480(X:20,Y:799)を占 領"
1547,#523:K-5,#523,199,978,漁場,,,漁場,476B,2026/06/15 00:40,IMG_2300.PNG,occupy,visible_time,"連盟476BがLV.1漁場 #523(X:199,Y:978)を 占領"
1546,#523:K-3,#523,99,978,漁場,,,漁場,476A,2026/06/15 00:52,IMG_2301.PNG,occupy,previous_image_visible_time,"連盟476AがLV.1漁場 #523(X:99,Y:978)を占 領"
1045,#509:F-7,#509,299,499,漁場,GX99,2026/05/30 23:25,漁場,f4j,2026/06/15 00:52,IMG_2301.PNG,occupy,visible_time,"連盟f4jがLV.3漁場 #509(X:299,Y:499)を占 領"
792,#503:D-11,#503,499,299,漁場,Stj,2026/06/05 0:41,漁場,AAOA,2026/06/15 04:33,IMG_2303.PNG,occupy,previous_image_visible_time,"連盟AAOAがLV.3漁場 #503(X:499,Y:299)を 占領"
2059,中央:中央-20-8,#8061,374,24,漁場,JlZ,2026/05/19 14:50,漁場,Digg,2026/06/15 06:19,IMG_2303.PNG,occupy,visible_time,"連盟DiggがLV.5漁場 #8061(X:374,Y:24)を 占領"
773,#503:C-1,#503,20,199,漁場,Lghs,2026/06/03 23:09,漁場,Stj,2026/06/15 06:31,IMG_2304.PNG,occupy,previous_image_visible_time,"連盟StjがLV.1漁場 #503(X:20,Y:199)を占領"
1370,#523:A-13,#523,599,20,漁場,K4TR,2026/05/21 23:25,漁場,2N7,2026/06/15 08:32,IMG_2304.PNG,occupy,visible_time,"連盟2N7がLV.1漁場 #523(X:599,Y:20)を占 領"
