row,name,old_total,new_total,old_band,new_band,old_form,new_form,old_first,new_first,old_job,new_job,changed,safe_to_apply,flags,vote_source,comment_source,vote_score,comment_score,comment_text
2,Revo GARO,407.68,371.85,2_75M以上〜80M未満,2_75M以上〜80M未満,戦,ロ,46.21,79.21,エンジニア,指導者,True,True,large_total_delta,IMG_2509.PNG,IMG_2535.PNG,1.0,1.0,ロケラン79.21指導者
3,まったり子,395.19,369.68,3_70M以上〜75M未満,2_75M以上〜80M未満,ロ,ロ,74,76.8,指導者,指導者,True,True,large_total_delta,IMG_2508.PNG,IMG_2529.PNG,1.0,1.0,ロケラン76.8M戦争指導者
4,ssi103,383.96,457.95,1_80M以上,1_80M以上,航,,84,87,指導者,指導者,True,True,large_total_delta,IMG_2507.PNG,IMG_2529.PNG,1.0,1.0,=87M 指導者
5,K’awiil,373.17,428.42,1_80M以上,1_80M以上,航,航,85.58,87.29,指導者,指導者,True,True,large_total_delta,IMG_2507.PNG,IMG_2537.PNG,1.0,1.0,航空87.29M 戦争指導者
6,RevoLoveR,371.58,366.11,2_75M以上〜80M未満,2_75M以上〜80M未満,航,航,75.63,77.26,指導者,指導者,True,True,,IMG_2508.PNG,IMG_2535.PNG,1.0,1.0,航空マギ77.26M 指導者 A）
7,naphtha PhD,370.42,334.72,3_70M以上〜75M未満,3_70M以上〜75M未満,航,航,70.3,72.56,エンジニア,エンジニア,True,True,large_total_delta,IMG_2510.PNG,IMG_2529.PNG,1.0,0.857,航空72.56M エンジニア
8,Hirogeo R,360.2,307.48,4_65M以上〜70M未満,3_70M以上〜75M未満,戦,戦,69.09,71.27,指導者,指導者,True,True,large_total_delta,IMG_2511.PNG,IMG_2530.PNG,0.824,0.875,戦車71.27m 指導者
9,Revo Geruge,355.31,382.45,3_70M以上〜75M未満,2_75M以上〜80M未満,ロ,ロ,73.1,76.15,エンジニア,エンジニア,True,True,large_total_delta,IMG_2508.PNG,IMG_2542.PNG,1.0,1.0,ロケラン76.15Mエンジニア
10,BCCR,352.65,330.77,4_65M以上〜70M未満,4_65M以上〜70M未満,戦,戦,65.28,67.12,エンジニア,エンジニア,True,True,,IMG_2513.PNG,IMG_2538.PNG,1.0,1.0,BCC 戦車67.12M ENGINEER
11,Rameπ vu,352.43,355.88,2_75M以上〜80M未満,2_75M以上〜80M未満,ロ,ロ,76.61,79.5,指導者,指導者,True,True,,IMG_2509.PNG,IMG_2532.PNG,1.0,0.941,ロケラン79.5M指導者
12,Maーー,352.37,350.89,3_70M以上〜75M未満,2_75M以上〜80M未満,航,航,75,77.04,指導者,指導者,True,True,,IMG_2509.PNG,IMG_2536.PNG,1.0,1.0,航空77.04M 指導者の
13,CHIKO un,344.57,352.7,3_70M以上〜75M未満,3_70M以上〜75M未満,戦,戦,71.7,73.7,指導者,,True,True,,IMG_2511.PNG,IMG_2537.PNG,1.0,0.933,戦車 73.7M
14,GinjirouR,344.35,314.71,4_65M以上〜70M未満,3_70M以上〜75M未満,航,,69.4,71.1,エンジニア,エンジニア,True,True,large_total_delta,IMG_2510.PNG,IMG_2535.PNG,1.0,1.0,71.1Mエンジニア
